ruta,fuente,modelo,dataset,partition_key,fuentes_equivalentes,tipo,antena,num_antenas,caso,potencia_W
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_10W/modelo_Doble_slot_1ant_dset_c3_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Doble_slot_1ant","dset_c3_p10","modelo_Doble_slot_1ant__dset_c3_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Doble_slot","1ant",1,3,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_15W/modelo_Doble_slot_1ant_dset_c3_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Doble_slot_1ant","dset_c3_p15","modelo_Doble_slot_1ant__dset_c3_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Doble_slot","1ant",1,3,15
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_20W/modelo_Doble_slot_1ant_dset_c3_p20.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Doble_slot_1ant","dset_c3_p20","modelo_Doble_slot_1ant__dset_c3_p20","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Doble_slot","1ant",1,3,20
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_5W/modelo_Doble_slot_1ant_dset_c3_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","modelo_Doble_slot_1ant","dset_c3_p5","modelo_Doble_slot_1ant__dset_c3_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo4.mat|/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_Masivo2.mat","Doble_slot","1ant",1,3,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_0/Potencia_10W/modelo_Doble_slot_1ant_src_000EB03B_dset_c0_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c0_p10","modelo_Doble_slot_1ant__src_000EB03B__dset_c0_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,0,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_0/Potencia_5W/modelo_Doble_slot_1ant_src_000EB03B_dset_c0_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c0_p5","modelo_Doble_slot_1ant__src_000EB03B__dset_c0_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,0,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_1/Potencia_10W/modelo_Doble_slot_1ant_src_000EB03B_dset_c1_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c1_p10","modelo_Doble_slot_1ant__src_000EB03B__dset_c1_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,1,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_1/Potencia_5W/modelo_Doble_slot_1ant_src_000EB03B_dset_c1_p5.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c1_p5","modelo_Doble_slot_1ant__src_000EB03B__dset_c1_p5","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,1,5
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_10W/modelo_Doble_slot_1ant_src_000EB03B_dset_c3_p10.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c3_p10","modelo_Doble_slot_1ant__src_000EB03B__dset_c3_p10","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,3,10
"/mnt/personal/TT_FINAL/DATASETS/datasets_masivos_por_metadata/Doble_slot/1ant/Caso_3/Potencia_15W/modelo_Doble_slot_1ant_src_000EB03B_dset_c3_p15.mat","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","modelo_Doble_slot_1ant__src_000EB03B","dset_c3_p15","modelo_Doble_slot_1ant__src_000EB03B__dset_c3_p15","/mnt/personal/TT_FINAL/DATASETS/datasets_masivos/Dataset_Termico_MasivoFIN1.mat","Doble_slot","1ant",1,3,15
