=========================================================================
 REGISTRO DE CAMBIOS DE TEMPERATURA EN SONDAS - CANAL B
=========================================================================
Modelo Origen : modelo_Monopolo_4ant
Dataset Tag   : dset_c0_p30
Fecha Export. : 13-Jun-2026 13:44:29
-------------------------------------------------------------------------
UBICACIÓN DE LAS SONDAS (Coordenadas Reales / Nodos de Malla):
  Sonda P1_antena    ➔ Pedida: [  0.00,   0.00,  34.00] mm | Real: [  0.00,   0.00,  34.00] mm (In_Domain=1)
  Sonda P2_centro    ➔ Pedida: [  0.00,   0.00,   0.00] mm | Real: [  0.00,   0.00,   0.00] mm (In_Domain=1)
  Sonda P3_lateral   ➔ Pedida: [  5.00,   0.00,  34.00] mm | Real: [  5.00,   0.00,  34.00] mm (In_Domain=1)
=========================================================================
Tiempo(min) 	P1_antena(°C)     	P2_centro(°C)     	P3_lateral(°C)    
0.0000      	37.0034           	37.0000           	37.0021           
1.0000      	103.7544          	37.6216           	85.0661           
2.0000      	150.2966          	38.5239           	126.0043          
3.0000      	189.6847          	39.7334           	162.7079          
4.0000      	224.2541          	41.3087           	195.6254          
5.0000      	254.5636          	43.3098           	224.7665          
6.0000      	281.3320          	45.7314           	250.5104          
7.0000      	304.9536          	48.5000           	273.2616          
8.0000      	325.6762          	51.5814           	293.2388          
9.0000      	344.0040          	54.8777           	310.9089          
10.0000     	360.1847          	58.3443           	326.4985          
11.0000     	374.5735          	61.8870           	340.3668          
12.0000     	387.3195          	65.4707           	352.6598          
13.0000     	398.7036          	69.0306           	363.6500          
14.0000     	408.8355          	72.5411           	373.4441          
15.0000     	417.9294          	75.9648           	382.2457          
16.0000     	426.0691          	79.2856           	390.1349          
17.0000     	433.4121          	82.4862           	397.2605          
18.0000     	440.0207          	85.5580           	403.6815          
19.0000     	446.0109          	88.4958           	409.5077          
20.0000     	451.4286          	91.2962           	414.7826          
