TipoAntena,NAntenas,Objetivo,Disponibles,Faltantes,Cobertura_pct
Doble_slot,1,180,8,172,4.44444444444444
Doble_slot,2,90,14,76,15.5555555555556
Doble_slot,3,54,10,44,18.5185185185185
Doble_slot,4,54,6,48,11.1111111111111
Monopolo,1,180,37,143,20.5555555555556
Monopolo,2,90,12,78,13.3333333333333
Monopolo,3,54,17,37,31.4814814814815
Monopolo,4,54,18,36,33.3333333333333
Un_slot,1,180,4,176,2.22222222222222
Un_slot,2,90,14,76,15.5555555555556
Un_slot,3,54,5,49,9.25925925925926
Un_slot,4,54,7,47,12.962962962963
