TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,NArchivosSTL,NArchivosDone,TieneRegistroSondas,TMinSTL_min,TMaxSTL_min,TiemposSTL,TMaxSondas_C,UmbralSTL_C,Estado,TieneAdvertencia,MotivosAdvertencia,RutaRelativa,RutaCompleta
Doble_slot,1,0,5,5,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",93.2153,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_0\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_0\Potencia_5W
Doble_slot,1,0,10,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",149.3896,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_0\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_0\Potencia_10W
Doble_slot,1,1,5,5,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",102.3047,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_1\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_1\Potencia_5W
Doble_slot,1,1,10,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",113.5592,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_1\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_1\Potencia_10W
Doble_slot,1,3,5,5,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.3368,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_3\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_3\Potencia_5W
Doble_slot,1,3,10,10,19,20,1,1,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",118.7544,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_3\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_3\Potencia_10W
Doble_slot,1,3,15,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",109.4287,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_3\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_3\Potencia_15W
Doble_slot,1,3,20,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",113.3246,55,REGISTRO_Y_STL,0,,Doble_slot\1ant\Caso_3\Potencia_20W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\1ant\Caso_3\Potencia_20W
Doble_slot,2,0,5,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",89.6154,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_0\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_0\Potencia_5W
Doble_slot,2,0,10,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",142.1017,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_0\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_0\Potencia_10W
Doble_slot,2,1,5,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",102.0383,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_1\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_1\Potencia_5W
Doble_slot,2,1,10,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",103.9855,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_1\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_1\Potencia_10W
Doble_slot,2,3,5,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",103.2631,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_5W
Doble_slot,2,3,10,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",103.6223,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_10W
Doble_slot,2,3,15,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.2399,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_15W
Doble_slot,2,3,20,40,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.7477,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_20W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_20W
Doble_slot,2,3,25,50,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.8918,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_25W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_25W
Doble_slot,2,3,30,60,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.4684,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_30W
Doble_slot,2,3,35,70,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.4825,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_35W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_35W
Doble_slot,2,3,40,80,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",108.8256,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_40W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_40W
Doble_slot,2,3,45,90,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",107.6554,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_45W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_45W
Doble_slot,2,3,50,100,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",108.9732,55,REGISTRO_Y_STL,0,,Doble_slot\2ant\Caso_3\Potencia_50W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\2ant\Caso_3\Potencia_50W
Doble_slot,3,0,5,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",109.5025,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_0\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_0\Potencia_5W
Doble_slot,3,0,10,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",181.8691,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_0\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_0\Potencia_10W
Doble_slot,3,1,5,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.1522,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_1\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_1\Potencia_5W
Doble_slot,3,1,10,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",117.3294,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_1\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_1\Potencia_10W
Doble_slot,3,3,5,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.7172,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_5W
Doble_slot,3,3,10,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",107.7283,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_10W
Doble_slot,3,3,15,45,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.1149,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_15W
Doble_slot,3,3,20,60,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.754,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_20W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_20W
Doble_slot,3,3,25,75,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",108.2076,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_25W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_25W
Doble_slot,3,3,30,90,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.798,55,REGISTRO_Y_STL,0,,Doble_slot\3ant\Caso_3\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\3ant\Caso_3\Potencia_30W
Doble_slot,4,0,5,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",109.36,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_0\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_0\Potencia_5W
Doble_slot,4,0,10,40,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",181.5809,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_0\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_0\Potencia_10W
Doble_slot,4,1,5,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",105.8058,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_1\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_1\Potencia_5W
Doble_slot,4,1,10,40,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",115.3187,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_1\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_1\Potencia_10W
Doble_slot,4,3,5,20,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",111.9175,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_3\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_3\Potencia_5W
Doble_slot,4,3,10,40,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",108.8633,55,REGISTRO_Y_STL,0,,Doble_slot\4ant\Caso_3\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Doble_slot\4ant\Caso_3\Potencia_10W
Monopolo,1,0,5,5,19,20,1,2,20,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",81.8901,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_0\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_0\Potencia_5W
Monopolo,1,0,10,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",126.6398,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_0\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_0\Potencia_10W
Monopolo,1,0,15,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",171.3913,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_0\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_0\Potencia_15W
Monopolo,1,0,30,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",307.2903,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_0\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_0\Potencia_30W
Monopolo,1,1,5,5,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",99.5493,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_1\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_1\Potencia_5W
Monopolo,1,1,10,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",109.5637,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_1\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_1\Potencia_10W
Monopolo,1,1,15,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",116.5911,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_1\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_1\Potencia_15W
Monopolo,1,1,30,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",122.1311,55,REGISTRO_Y_STL,1,T maxima de sondas >= 120.0 C,Monopolo\1ant\Caso_1\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_1\Potencia_30W
Monopolo,1,2,30,30,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",106.3353,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_2\Potencia_30W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_2\Potencia_30W
Monopolo,1,3,5,5,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",104.6585,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_3\Potencia_5W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_3\Potencia_5W
Monopolo,1,3,10,10,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",111.8358,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_3\Potencia_10W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_3\Potencia_10W
Monopolo,1,3,15,15,20,21,1,1,20,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",113.9175,55,REGISTRO_Y_STL,0,,Monopolo\1ant\Caso_3\Potencia_15W,C:\Users\emili\Downloads\modulos_tesis_refactor_limpio\modulos_tesis_refactor_limpio\DATASETS\distribuciones_stl\Monopolo\1ant\Caso_3\Potencia_15W
