"Tipo","Antenas","Caso","Potencia","Tmax","Ruta"
"Doble_slot","1","0","10","149.3896","Doble_slot\1ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","0","5","93.2153","Doble_slot\1ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","1","10","113.5592","Doble_slot\1ant\Caso_1\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","1","5","102.3047","Doble_slot\1ant\Caso_1\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","3","10","118.7544","Doble_slot\1ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","3","15","109.4287","Doble_slot\1ant\Caso_3\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","3","20","113.3246","Doble_slot\1ant\Caso_3\Potencia_20W\Registro_Sondas_Temperatura.txt"
"Doble_slot","1","3","5","106.3368","Doble_slot\1ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","0","10","142.1017","Doble_slot\2ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","0","5","89.6154","Doble_slot\2ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","1","10","103.9855","Doble_slot\2ant\Caso_1\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","1","5","102.0383","Doble_slot\2ant\Caso_1\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","10","103.6223","Doble_slot\2ant\Caso_3\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","15","105.2399","Doble_slot\2ant\Caso_3\Potencia_15W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","20","105.7477","Doble_slot\2ant\Caso_3\Potencia_20W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","25","105.8918","Doble_slot\2ant\Caso_3\Potencia_25W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","30","106.4684","Doble_slot\2ant\Caso_3\Potencia_30W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","35","106.7203","Doble_slot\2ant\Caso_3\Potencia_35W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","40","108.8256","Doble_slot\2ant\Caso_3\Potencia_40W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","45","107.6554","Doble_slot\2ant\Caso_3\Potencia_45W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","50","108.9732","Doble_slot\2ant\Caso_3\Potencia_50W\Registro_Sondas_Temperatura.txt"
"Doble_slot","2","3","5","103.2631","Doble_slot\2ant\Caso_3\Potencia_5W\Registro_Sondas_Temperatura.txt"
"Doble_slot","3","0","10","181.8691","Doble_slot\3ant\Caso_0\Potencia_10W\Registro_Sondas_Temperatura.txt"
"Doble_slot","3","0","5","109.5025","Doble_slot\3ant\Caso_0\Potencia_5W\Registro_Sondas_Temperatura.txt"
