TipoAntena,NAntenas,Objetivo,Detectadas,CubiertasCarbonizacion,FaltantesEfectivas,CoberturaPct
Doble_slot,1,180,19,0,161,10.5555555555556
Doble_slot,2,90,23,0,67,25.5555555555556
Doble_slot,3,54,15,0,39,27.7777777777778
Doble_slot,4,54,18,0,36,33.3333333333333
Monopolo,1,180,66,0,114,36.6666666666667
Monopolo,2,90,22,0,68,24.4444444444444
Monopolo,3,54,29,0,25,53.7037037037037
Monopolo,4,54,30,0,24,55.5555555555556
Un_slot,1,180,10,0,170,5.55555555555556
Un_slot,2,90,19,0,71,21.1111111111111
Un_slot,3,54,16,0,38,29.6296296296296
Un_slot,4,54,12,0,42,22.2222222222222
