TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,Modelo,TagDataset,NSnapshots,TiempoInicio_min,TiempoFin_min,UmbralCarbonizacion_C,TMaxDecision_C,TMaxDatos_C,TMaxMetadata_C,TMaxFullField_C,DifMaxMetadataVsDatos_C,DifMaxMetadataVsFullField_C,CorteSostenido_min,CarbonizacionSostenidaDesdeMin1,NExcesosTransitorios,TieneAdvertencia,MotivosAdvertencia,Clave
Monopolo,2,5,5,10,modelo_Monopolo_2ant,dset_c5_p5,21,0,20,120,101.692127504616,101.692127504616,101.692127504616,NaN,0,NaN,NaN,0,0,0,,monopolo|2|5|5
Monopolo,2,5,10,20,modelo_Monopolo_2ant,dset_c5_p10,21,0,20,120,116.111918783253,116.111918783253,116.111918783253,NaN,0,NaN,NaN,0,0,0,,monopolo|2|5|10
Monopolo,2,5,15,30,modelo_Monopolo_2ant,dset_c5_p15,21,0,20,120,119.961607875581,119.961607875581,119.961607875581,NaN,0,NaN,NaN,0,0,0,,monopolo|2|5|15
Monopolo,2,5,20,40,modelo_Monopolo_2ant,dset_c5_p20,21,0,20,120,132.256353053541,132.256353053541,132.256353053541,NaN,0,NaN,NaN,0,4,0,,monopolo|2|5|20
Monopolo,2,6,5,10,modelo_Monopolo_2ant,dset_c6_p5,21,0,20,120,124.885091494179,124.885091494179,124.885091494179,NaN,0,NaN,NaN,0,4,0,,monopolo|2|6|5
Monopolo,2,7,5,10,modelo_Monopolo_2ant,dset_c7_p5,21,0,20,120,102.968019043831,102.968019043831,102.968019043831,NaN,0,NaN,NaN,0,0,0,,monopolo|2|7|5
Monopolo,2,7,10,20,modelo_Monopolo_2ant,dset_c7_p10,21,0,20,120,116.036346365401,116.036346365401,116.036346365401,NaN,0,NaN,NaN,0,0,0,,monopolo|2|7|10
Monopolo,2,7,15,30,modelo_Monopolo_2ant,dset_c7_p15,21,0,20,120,123.819157100244,123.819157100244,123.819157100244,NaN,0,NaN,NaN,0,2,0,,monopolo|2|7|15
Monopolo,2,7,20,40,modelo_Monopolo_2ant,dset_c7_p20,21,0,20,120,130.11770768783,130.11770768783,130.11770768783,NaN,0,NaN,NaN,0,6,0,,monopolo|2|7|20
Monopolo,2,8,5,10,modelo_Monopolo_2ant,dset_c8_p5,21,0,20,120,127.938002909508,127.938002909508,127.938002909508,NaN,0,NaN,NaN,0,5,0,,monopolo|2|8|5
Monopolo,2,3,5,10,modelo_Monopolo_2ant,dset_c3_p5,21,0,20,120,112.294871022364,112.294871022364,112.294871022364,NaN,0,NaN,NaN,0,0,0,,monopolo|2|3|5
Monopolo,2,3,10,20,modelo_Monopolo_2ant,dset_c3_p10,21,0,20,120,125.014891972836,125.014891972836,125.014891972836,NaN,0,NaN,NaN,0,3,0,,monopolo|2|3|10
Monopolo,2,3,15,30,modelo_Monopolo_2ant,dset_c3_p15,21,0,20,120,132.212771217341,132.212771217341,132.212771217341,NaN,0,NaN,NaN,0,8,0,,monopolo|2|3|15
Monopolo,2,1,30,60,modelo_Monopolo_2ant,dset_c1_p30,21,0,20,120,127.009542558739,127.009542558739,127.009542558739,NaN,0,NaN,NaN,0,2,0,,monopolo|2|1|30
Monopolo,2,2,30,60,modelo_Monopolo_2ant,dset_c2_p30,21,0,20,120,110.976395341741,110.976395341741,110.976395341741,NaN,0,NaN,NaN,0,0,0,,monopolo|2|2|30
Monopolo,2,3,30,60,modelo_Monopolo_2ant,dset_c3_p30,21,0,20,120,137.560920203981,137.560920203981,137.560920203981,NaN,0,NaN,NaN,0,1,0,,monopolo|2|3|30
