TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,Detectada,CubiertaPorCarbonizacion,PotenciaCarbonizante_W,MinutoCorteCarbonizante,FaltanteBruta,FaltanteEfectiva
Doble_slot,1,0,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,0,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,0,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,0,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,0,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,0,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,0,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,0,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,0,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,0,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,0,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,0,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,0,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,0,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,0,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,0,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,0,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,0,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,1,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,1,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,1,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,1,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,1,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,1,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,1,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,1,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,1,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,1,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,1,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,1,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,1,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,1,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,1,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,1,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,1,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,1,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,2,5,5,0,0,NaN,NaN,1,1
Doble_slot,1,2,10,10,0,0,NaN,NaN,1,1
Doble_slot,1,2,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,2,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,2,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,2,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,2,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,2,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,2,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,2,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,2,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,2,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,2,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,2,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,2,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,2,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,2,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,2,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,2,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,2,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,3,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,3,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,3,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,3,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,3,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,3,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,3,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,3,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,3,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,3,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,3,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,3,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,3,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,3,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,3,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,3,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,4,5,5,0,0,NaN,NaN,1,1
Doble_slot,1,4,10,10,0,0,NaN,NaN,1,1
Doble_slot,1,4,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,4,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,4,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,4,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,4,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,4,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,4,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,4,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,4,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,4,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,4,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,4,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,4,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,4,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,4,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,4,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,4,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,4,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,5,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,5,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,5,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,5,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,5,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,5,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,5,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,5,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,5,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,5,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,5,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,5,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,5,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,5,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,5,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,5,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,5,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,6,10,10,0,0,NaN,NaN,1,1
Doble_slot,1,6,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,6,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,6,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,6,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,6,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,6,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,6,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,6,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,6,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,6,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,6,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,6,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,6,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,6,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,6,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,6,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,6,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,6,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,7,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,7,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,7,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,7,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,7,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,7,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,7,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,7,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,7,80,80,0,0,NaN,NaN,1,1
Doble_slot,1,7,85,85,0,0,NaN,NaN,1,1
Doble_slot,1,7,90,90,0,0,NaN,NaN,1,1
Doble_slot,1,7,95,95,0,0,NaN,NaN,1,1
Doble_slot,1,7,100,100,0,0,NaN,NaN,1,1
Doble_slot,1,8,5,5,0,0,NaN,NaN,1,1
Doble_slot,1,8,10,10,0,0,NaN,NaN,1,1
Doble_slot,1,8,15,15,0,0,NaN,NaN,1,1
Doble_slot,1,8,20,20,0,0,NaN,NaN,1,1
Doble_slot,1,8,25,25,0,0,NaN,NaN,1,1
Doble_slot,1,8,30,30,0,0,NaN,NaN,1,1
Doble_slot,1,8,35,35,0,0,NaN,NaN,1,1
Doble_slot,1,8,40,40,0,0,NaN,NaN,1,1
Doble_slot,1,8,45,45,0,0,NaN,NaN,1,1
Doble_slot,1,8,50,50,0,0,NaN,NaN,1,1
Doble_slot,1,8,55,55,0,0,NaN,NaN,1,1
Doble_slot,1,8,60,60,0,0,NaN,NaN,1,1
Doble_slot,1,8,65,65,0,0,NaN,NaN,1,1
Doble_slot,1,8,70,70,0,0,NaN,NaN,1,1
Doble_slot,1,8,75,75,0,0,NaN,NaN,1,1
Doble_slot,1,8,80,80,0,0,NaN,NaN,1,1
